,RunId,iteration,Step,input_level_num,input_users,input_max_capacity,input_exam_season,level,time,overall_num_users_unable_to_find_seat,current_num_users_on_floor
78,3,0,6,6,500,100,True,6,2023-04-12 12:00:00,0,67
79,3,0,7,6,500,100,True,6,2023-04-12 12:30:00,0,67
80,3,0,8,6,500,100,True,6,2023-04-12 13:00:00,0,90
81,3,0,9,6,500,100,True,6,2023-04-12 13:30:00,0,90
82,3,0,10,6,500,100,True,6,2023-04-12 14:00:00,0,110
83,3,0,11,6,500,100,True,6,2023-04-12 14:30:00,0,110
84,3,0,12,6,500,100,True,6,2023-04-12 15:00:00,0,112
85,3,0,13,6,500,100,True,6,2023-04-12 15:30:00,0,112
86,3,0,14,6,500,100,True,6,2023-04-12 16:00:00,0,117
87,3,0,15,6,500,100,True,6,2023-04-12 16:30:00,0,117
88,3,0,16,6,500,100,True,6,2023-04-12 17:00:00,0,114
89,3,0,17,6,500,100,True,6,2023-04-12 17:30:00,0,114
90,3,0,18,6,500,100,True,6,2023-04-12 18:00:00,0,98
91,3,0,19,6,500,100,True,6,2023-04-12 18:30:00,0,98
92,3,0,20,6,500,100,True,6,2023-04-12 19:00:00,0,72
93,3,0,21,6,500,100,True,6,2023-04-12 19:30:00,0,72
94,3,0,22,6,500,100,True,6,2023-04-12 20:00:00,0,50
95,3,0,23,6,500,100,True,6,2023-04-12 20:30:00,0,50
96,3,0,24,6,500,100,True,6,2023-04-12 21:00:00,0,29
97,3,0,25,6,500,100,True,6,2023-04-12 21:30:00,0,29
98,3,0,26,6,500,100,True,6,2023-04-12 22:00:00,0,11
99,3,0,27,6,500,100,True,6,2023-04-12 22:30:00,0,11
100,3,0,28,6,500,100,True,6,2023-04-12 23:00:00,0,3
101,3,0,29,6,500,100,True,6,2023-04-12 23:30:00,0,3
102,3,0,30,6,500,100,True,6,2023-04-13 00:00:00,0,0
103,3,0,31,6,500,100,True,6,2023-04-13 00:30:00,0,0
104,3,0,32,6,500,100,True,6,2023-04-13 01:00:00,0,0
105,3,0,33,6,500,100,True,6,2023-04-13 01:30:00,0,0
106,3,0,34,6,500,100,True,6,2023-04-13 02:00:00,0,0
107,3,0,35,6,500,100,True,6,2023-04-13 02:30:00,0,0
108,3,0,36,6,500,100,True,6,2023-04-13 03:00:00,0,0
109,3,0,37,6,500,100,True,6,2023-04-13 03:30:00,0,0
110,3,0,38,6,500,100,True,6,2023-04-13 04:00:00,0,0
111,3,0,39,6,500,100,True,6,2023-04-13 04:30:00,0,0
112,3,0,40,6,500,100,True,6,2023-04-13 05:00:00,0,0
113,3,0,41,6,500,100,True,6,2023-04-13 05:30:00,0,0
114,3,0,42,6,500,100,True,6,2023-04-13 06:00:00,0,0
115,3,0,43,6,500,100,True,6,2023-04-13 06:30:00,0,0
116,3,0,44,6,500,100,True,6,2023-04-13 07:00:00,0,0
117,3,0,45,6,500,100,True,6,2023-04-13 07:30:00,0,0
118,3,0,46,6,500,100,True,6,2023-04-13 08:00:00,0,0
119,3,0,47,6,500,100,True,6,2023-04-13 08:30:00,0,0
