,RunId,iteration,Step,input_level_num,input_users,input_max_capacity,input_exam_season,level,time,overall_num_users_unable_to_find_seat,current_num_users_on_floor
78,3,3,6,3,500,100,True,3,2023-04-12 12:00:00,0,27
79,3,3,7,3,500,100,True,3,2023-04-12 12:30:00,0,27
80,3,3,8,3,500,100,True,3,2023-04-12 13:00:00,0,38
81,3,3,9,3,500,100,True,3,2023-04-12 13:30:00,0,38
82,3,3,10,3,500,100,True,3,2023-04-12 14:00:00,0,45
83,3,3,11,3,500,100,True,3,2023-04-12 14:30:00,0,45
84,3,3,12,3,500,100,True,3,2023-04-12 15:00:00,0,47
85,3,3,13,3,500,100,True,3,2023-04-12 15:30:00,0,47
86,3,3,14,3,500,100,True,3,2023-04-12 16:00:00,0,50
87,3,3,15,3,500,100,True,3,2023-04-12 16:30:00,0,50
88,3,3,16,3,500,100,True,3,2023-04-12 17:00:00,0,46
89,3,3,17,3,500,100,True,3,2023-04-12 17:30:00,0,46
90,3,3,18,3,500,100,True,3,2023-04-12 18:00:00,0,36
91,3,3,19,3,500,100,True,3,2023-04-12 18:30:00,0,36
92,3,3,20,3,500,100,True,3,2023-04-12 19:00:00,0,25
93,3,3,21,3,500,100,True,3,2023-04-12 19:30:00,0,25
94,3,3,22,3,500,100,True,3,2023-04-12 20:00:00,0,5
95,3,3,23,3,500,100,True,3,2023-04-12 20:30:00,0,5
96,4,4,0,3,500,100,True,3,2023-04-12 09:00:00,0,7
97,4,4,1,3,500,100,True,3,2023-04-12 09:30:00,0,7
98,4,4,2,3,500,100,True,3,2023-04-12 10:00:00,0,15
99,4,4,3,3,500,100,True,3,2023-04-12 10:30:00,0,15
100,4,4,4,3,500,100,True,3,2023-04-12 11:00:00,0,22
101,4,4,5,3,500,100,True,3,2023-04-12 11:30:00,0,22
102,4,4,6,3,500,100,True,3,2023-04-12 12:00:00,0,31
103,4,4,7,3,500,100,True,3,2023-04-12 12:30:00,0,31
104,4,4,8,3,500,100,True,3,2023-04-12 13:00:00,0,31
105,4,4,9,3,500,100,True,3,2023-04-12 13:30:00,0,31
